approach,scenario,edge_servers,functions,round,user_type,latency_mean,latency_std,utilisation_mean,utilisation_std,mec_systems,prediction,iterations,ants
aco,2,100,1,5,ambulanceUser,47.96234090909092,15.6330340341738,0.06340419631974967,0.022221516538884583,5,NONE,100.0,10.0
aco,2,100,1,5,genericUser,59.25670999999999,8.927411781066565,0.045699536998647296,0.021163602145796226,5,NONE,100.0,10.0
aco,2,100,1,5,operaUser,39.75551923076923,13.997973476126376,0.060592058531921185,0.02211721017057244,5,NONE,100.0,10.0
aco,2,200,1,1,Aggregate,57.30402163833077,11.205390075474286,0.02768374046254099,0.013819968222856095,5,NONE,100.0,10.0
aco,2,200,1,1,ambulanceUser,46.932731707317075,15.705472522379564,0.03619512424361645,0.01671101113481056,5,NONE,100.0,10.0
aco,2,200,1,1,genericUser,59.26244454545454,8.927227301550873,0.02646661522668004,0.013449027369739628,5,NONE,100.0,10.0
aco,2,200,1,1,operaUser,46.003091503267974,15.544822196998876,0.034153485720207315,0.013077373698934538,5,NONE,100.0,10.0
aco,2,200,1,2,Aggregate,57.321000000000005,11.189490784528179,0.02670493879208714,0.014576234360967475,5,NONE,100.0,10.0
aco,2,200,1,2,ambulanceUser,46.161615384615395,15.718429124363915,0.034035675958742906,0.014066415515951822,5,NONE,100.0,10.0
aco,2,200,1,2,genericUser,59.26265363636364,8.927464614194944,0.025438871695244277,0.014221413982548045,5,NONE,100.0,10.0
aco,2,200,1,2,operaUser,46.2059477124183,15.550154078518617,0.03393876269422815,0.01465368775237919,5,NONE,100.0,10.0
aco,2,200,1,3,Aggregate,57.32124711316396,11.187532326409181,0.024886249501098117,0.012698953126093782,5,NONE,100.0,10.0
aco,2,200,1,3,ambulanceUser,48.59480434782609,15.564388400904257,0.030848209939007575,0.014427508514781856,5,NONE,100.0,10.0
aco,2,200,1,3,genericUser,59.260332727272726,8.927500098023065,0.02383411711322267,0.012399775799343874,5,NONE,100.0,10.0
aco,2,200,1,3,operaUser,46.003745098039204,15.545106085335487,0.03065811516462202,0.01230827558870993,5,NONE,100.0,10.0
aco,2,200,1,4,Aggregate,56.92457109737248,11.564045291582389,0.028978877856842798,0.014118080734289306,5,NONE,100.0,10.0
aco,2,200,1,4,ambulanceUser,49.15954166666668,15.47164895275794,0.030435851722047946,0.013311182263922893,5,NONE,100.0,10.0
aco,2,200,1,4,genericUser,59.265668181818185,8.928422309518757,0.027877686974737356,0.013868859858437584,5,NONE,100.0,10.0
aco,2,200,1,4,operaUser,41.83905479452054,14.832723511526487,0.0367965163827753,0.013808322313037179,5,NONE,100.0,10.0
aco,2,200,1,5,Aggregate,56.4922759415834,11.930507439331803,0.02842919283607127,0.014259106450788313,5,NONE,100.0,10.0
aco,2,200,1,5,ambulanceUser,47.96990909090911,15.633432759698316,0.035000311614425336,0.015277701189009688,5,NONE,100.0,10.0
